game_date,home_team,away_team,actual_margin,home_weighted_margin,away_weighted_margin,home_weighted_win_pct,away_weighted_win_pct,home_recent_10_win_pct,away_recent_10_win_pct,home_weighted_points_for,away_weighted_points_for,home_weighted_points_against,away_weighted_points_against,home_weighted_point_diff,away_weighted_point_diff,home_recent_margin_3,home_recent_margin_5,home_recent_margin_10,away_recent_margin_3,away_recent_margin_5,away_recent_margin_10,home_recent_win_pct_3,home_recent_win_pct_5,away_recent_win_pct_3,away_recent_win_pct_5,home_recent_points_for_5,home_recent_points_against_5,away_recent_points_for_5,away_recent_points_against_5,home_blown_rate_10,away_blown_rate_10,home_clutch_margin_10,away_clutch_margin_10,home_max_lead_10,away_max_lead_10,home_h2h_margin_avg,home_h2h_win_pct,h2h_games_played,rest_diff,home_b2b,away_b2b,home_games_played,away_games_played,market_spread
2026-01-31,Charlotte Hornets,San Antonio Spurs,5,1.4362724519292038,3.5445839897225992,0.588662096710464,0.6236679563918258,0.7,0.6,117.20207113767843,114.23697228099795,109.81987941228941,110.01437348457418,7.382191725389021,4.2225987964237675,18.0,17.0,9.1,6.666666666666667,5.6,3.2,1.0,1.0,0.6666666666666666,0.6,121.6,104.6,112.2,106.6,0.0,0.2,-0.3,-2.0,19.4,17.0,0.0,0.0,0.0,-1,0.0,0.0,49.0,48.0,0.0
2026-02-01,Houston Rockets,Dallas Mavericks,4,5.681070316247238,-4.508083681927256,0.6123428309998169,0.43519190907777766,0.7,0.5,111.3009689292123,116.24722326045612,107.87711410549797,116.42874936739523,3.4238548237143362,-0.18152610693910276,5.0,3.2,2.1,-7.0,0.8,2.5,0.6666666666666666,0.6,0.0,0.4,108.8,105.6,114.6,113.8,0.1,0.1,-1.3,-0.9,11.7,14.2,-3.6666666666666665,0.3333333333333333,3.0,0,0.0,0.0,45.0,48.0,0.0
2026-02-01,Philadelphia 76ers,New Orleans Pelicans,10,0.7618682966998411,-6.954859710617012,0.5408940826947636,0.35294933159541836,0.5,0.4,115.79774352911383,113.9103426787434,115.88708981302574,117.46617405858738,-0.08934628391190813,-3.55583137984398,-6.0,-3.0,-2.7,2.6666666666666665,1.2,-2.4,0.6666666666666666,0.6,0.6666666666666666,0.6,116.4,119.4,110.0,108.8,0.1,0.2,1.8,0.6,11.7,8.4,0.0,0.0,0.0,1,0.0,0.0,47.0,50.0,0.0
2026-02-01,Memphis Grizzlies,Minnesota Timberwolves,-17,0.22669372662300086,4.789483196884028,0.3097774022049695,0.5847404543858813,0.2,0.5,113.58018350378198,117.80895760284925,115.93890470129206,112.82857267505464,-2.3587211975100786,4.980384927794603,-10.666666666666666,-8.0,-4.5,16.666666666666668,3.8,4.0,0.0,0.0,1.0,0.6,110.2,118.2,109.8,106.0,0.6,0.3,-1.4,-2.1,14.1,16.2,6.0,1.0,1.0,-1,0.0,0.0,46.0,49.0,-11.5
2026-02-01,Miami Heat,Chicago Bulls,-7,2.7096917020647995,-3.154876013918382,0.526711026655628,0.46966143783491693,0.6,0.5,118.96278586835399,116.70099400980617,118.87836864600536,116.96397805329593,0.08441722234863391,-0.2629840434897659,1.0,3.4,1.0,-5.666666666666667,-1.8,3.4,0.6666666666666666,0.6,0.0,0.4,121.6,118.2,115.0,116.8,0.2,0.1,-0.6,-1.1,15.1,11.3,19.5,1.0,2.0,0,0.0,0.0,49.0,48.0,5.5
2026-02-01,Indiana Pacers,Atlanta Hawks,5,-2.2579596456382096,-0.9632675189082764,0.3431540211220462,0.48391163228619305,0.5,0.5,110.14487189734227,114.87301891194748,117.27599316720656,116.54189648660679,-7.131121269864295,-1.6688775746593052,-3.3333333333333335,-6.8,-5.7,3.0,3.6,-3.8,0.6666666666666666,0.4,0.6666666666666666,0.8,110.8,117.6,113.8,110.2,0.2,0.0,-1.6,0.6,10.4,11.2,-18.0,0.0,2.0,1,0.0,0.0,48.0,50.0,-6.5
2026-02-01,Washington Wizards,Sacramento Kings,4,-7.466136756040814,-15.228729540354442,0.3005530098176964,0.21290288314398167,0.2,0.2,111.04177712012192,108.6726825938157,119.42372876337959,118.37193773823914,-8.381951643257665,-9.699255144423446,-5.666666666666667,-6.2,-8.7,-12.333333333333334,-13.0,-7.4,0.6666666666666666,0.4,0.0,0.0,109.4,115.6,105.0,118.0,0.1,0.2,0.3,-1.7,6.4,9.1,-13.0,0.0,1.0,0,0.0,0.0,47.0,50.0,0.0
2026-02-02,Phoenix Suns,LA Clippers,-24,7.805224192509705,-3.49012004897745,0.659157857538496,0.6335611527309943,0.6,0.8,113.05516486025485,113.61764590131975,108.66778987519359,110.4434953051497,4.387374985061257,3.174150596170051,11.666666666666666,3.8,3.2,12.0,3.2,5.2,1.0,0.6,0.6666666666666666,0.6,110.2,106.4,114.4,111.2,0.1,0.0,-0.2,1.5,14.4,15.6,-1.0,0.6666666666666666,3.0,0,0.0,0.0,49.0,47.0,2.5
2026-02-01,Toronto Raptors,Utah Jazz,7,-1.5455133571908415,-10.70319891964451,0.5505974899257249,0.22475066014715142,0.5,0.1,112.04376076617855,116.48328766295239,112.432151033758,128.02061368179446,-0.38839026757945305,-11.537326018842066,-11.666666666666666,-2.0,-1.2,-12.666666666666666,-17.2,-13.6,0.3333333333333333,0.6,0.0,0.0,109.4,111.4,110.2,127.4,0.3,0.1,1.1,0.7,14.9,5.1,0.0,0.0,0.0,0,0.0,0.0,50.0,49.0,0.0
2026-02-02,New York Knicks,Los Angeles Lakers,12,10.41902594300083,-1.5452264988995947,0.6086889960446553,0.5692225248374639,0.6,0.6,114.81292995682965,116.16503722835098,108.36478608948023,116.02034826861659,6.448143867349415,0.14468895973439544,24.333333333333332,26.0,9.1,4.0,2.0,2.6,1.0,1.0,0.6666666666666666,0.6,116.2,90.2,118.0,116.0,0.2,0.2,3.2,2.8,19.6,16.6,0.0,0.0,0.0,0,0.0,0.0,49.0,46.0,0.0
