game_date,home_team,away_team,actual_margin,home_weighted_margin,away_weighted_margin,home_weighted_win_pct,away_weighted_win_pct,home_recent_10_win_pct,away_recent_10_win_pct,home_weighted_points_for,away_weighted_points_for,home_weighted_points_against,away_weighted_points_against,home_weighted_point_diff,away_weighted_point_diff,home_recent_margin_3,home_recent_margin_5,home_recent_margin_10,away_recent_margin_3,away_recent_margin_5,away_recent_margin_10,home_recent_win_pct_3,home_recent_win_pct_5,away_recent_win_pct_3,away_recent_win_pct_5,home_recent_points_for_5,home_recent_points_against_5,away_recent_points_for_5,away_recent_points_against_5,rest_diff,home_b2b,away_b2b,home_games_played,away_games_played,market_spread
2025-10-28,Los Angeles Lakers,Portland Trail Blazers,-14,18.0,-7.0,1.0,0.33280013714176887,1.0,0.3333333333333333,127.48267825516781,119.82319894132533,115.17321744832185,116.90605471587384,12.309460806845962,2.9171442254514943,12.5,12.5,12.5,3.0,3.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,127.5,115.0,120.0,117.0,0,0.0,0.0,2.0,3.0,0.0
2025-10-27,Philadelphia 76ers,Orlando Magic,12,4.0,-4.36938278220594,1.0,0.31051350754124435,1.0,0.3333333333333333,121.13857395865747,109.37906593788951,118.58660872416093,113.74844872009545,2.5519652344965493,-4.369382782205946,2.5,2.5,2.5,-4.0,-4.0,-4.0,1.0,1.0,0.3333333333333333,0.3333333333333333,121.0,118.5,110.0,114.0,0,0.0,0.0,2.0,3.0,0.0
2025-10-28,Utah Jazz,Phoenix Suns,4,21.0,-24.413391275839075,0.48267825516781476,0.31051350754124435,0.5,0.3333333333333333,116.06695637919536,110.7994203335953,106.44803476550345,126.39006982323177,9.61892161369191,-15.590649489636476,10.0,10.0,10.0,-15.0,-15.0,-15.0,0.5,0.5,0.3333333333333333,0.3333333333333333,116.5,106.5,111.0,126.0,1,0.0,0.0,2.0,3.0,0.0
2025-10-28,New Orleans Pelicans,Boston Celtics,-32,-4.0,-7.930713020671258,0.0,0.0,0.0,0.0,118.89606953100687,107.9411380540719,123.86142604134251,113.71977106493276,-4.9653565103356385,-5.778633010860858,-5.0,-5.0,-5.0,-5.666666666666667,-5.666666666666667,-5.666666666666667,0.0,0.0,0.0,0.0,119.0,124.0,108.0,113.66666666666667,1,0.0,0.0,2.0,3.0,0.0
2025-10-28,Dallas Mavericks,Oklahoma City Thunder,-7,-10.008083567108883,11.69053919315404,0.35668635531698684,1.0,0.3333333333333333,1.0,113.75626075702492,128.58427812402755,123.7643443241338,116.89373893087351,-10.008083567108883,11.690539193154038,-11.0,-11.0,-11.0,11.5,11.5,11.5,0.3333333333333333,0.3333333333333333,1.0,1.0,112.66666666666667,123.66666666666667,129.0,117.5,-1,0.0,0.0,3.0,2.0,0.0
2025-10-28,San Antonio Spurs,Toronto Raptors,18,11.0,4.480347655034442,1.0,0.31051350754124435,1.0,0.3333333333333333,120.83919482707225,127.46821978502823,105.33749862115727,126.82161401022381,15.501696205914982,0.6466057748044136,16.0,16.0,16.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,121.0,105.0,127.66666666666667,126.33333333333333,0,0.0,0.0,3.0,3.0,0.0
2025-10-28,Minnesota Timberwolves,Denver Nuggets,-13,4.0,-6.0,0.6671998628582312,0.5173217448321853,0.6666666666666666,0.5,113.91085348159791,132.03464348966438,117.23245649871681,123.54963463436317,-3.3216030171189033,8.485008855301203,-3.3333333333333335,-3.3333333333333335,-3.3333333333333335,8.0,8.0,8.0,0.6666666666666666,0.6666666666666666,0.5,0.5,114.0,117.33333333333333,132.0,124.0,0,0.0,0.0,3.0,2.0,0.0
2025-10-28,Chicago Bulls,Atlanta Hawks,5,4.0,4.0,1.0,0.33280013714176887,1.0,0.3333333333333333,112.41339127583907,109.25004464430187,104.2748173171816,120.19278228694846,8.138573958657474,-10.942737642646591,8.0,8.0,8.0,-11.0,-11.0,-11.0,1.0,1.0,0.3333333333333333,0.3333333333333333,112.5,104.5,109.66666666666667,120.66666666666667,0,0.0,0.0,2.0,3.0,0.0
2025-10-27,Detroit Pistons,Cleveland Cavaliers,-21,6.0,-0.2401738275172212,0.6894864924587557,0.6894864924587557,0.6666666666666666,0.6666666666666666,115.18469139110297,120.15280723005431,112.95542674079896,118.52388255380693,2.2292646503040174,1.6289246762473795,2.0,2.0,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,115.0,113.0,120.0,118.66666666666667,0,0.0,0.0,3.0,3.0,0.0
2025-10-28,Houston Rockets,Brooklyn Nets,28,-4.0,-14.861426041342519,0.0,0.0,0.0,0.0,111.0,115.76273740682252,115.0,127.91564491858541,-4.0,-12.15290751176289,-4.0,-4.0,-4.0,-12.333333333333334,-12.333333333333334,-12.333333333333334,0.0,0.0,0.0,0.0,111.0,115.0,116.0,128.33333333333334,1,0.0,0.0,1.0,3.0,0.0
